OrderID,OrderDate,City,Category,Item,Quantity,Price,PaymentMode,Status,DeliveryTime(min),CustomerType,TotalAmount
150,07/01/2023 05:00,Ahmedabad,Household,Flour,1,455,Cash,Delivered,64,Repeat,455
151,07/01/2023 06:00,Bangalore,Dairy & Bakery,Flour,3,74,UPI,Delivered,60,Repeat,222
152,07/01/2023 07:00,Bangalore,Beverages,Soap,3,328,Cash,Delivered,85,Repeat,984
153,07/01/2023 08:00,Delhi,Snacks,Milk,4,369,Wallet,Delivered,11,New,1476
154,07/01/2023 09:00,Bangalore,Snacks,Milk,1,91,UPI,Delivered,23,Repeat,91
155,07/01/2023 10:00,Chennai,Dairy & Bakery,Apple,4,315,Card,Delivered,26,New,1260
156,07/01/2023 11:00,Mumbai,Household,Eggs,3,232,UPI,Delivered,86,Repeat,696
157,07/01/2023 12:00,Kolkata,Personal Care,Juice,3,314,Card,Returned,10,New,942
158,07/01/2023 13:00,Mumbai,Dairy & Bakery,Oil,5,190,Card,Delivered,10,Repeat,950
159,07/01/2023 14:00,Delhi,Personal Care,Eggs,3,265,Cash,Delivered,35,New,795
160,07/01/2023 15:00,Hyderabad,Personal Care,Milk,2,160,Card,Delivered,55,New,320
161,07/01/2023 16:00,Kolkata,Household,Flour,5,123,Card,Delivered,22,Repeat,615
162,07/01/2023 17:00,Delhi,Personal Care,Oil,4,124,Card,Delivered,43,Repeat,496
163,07/01/2023 18:00,Ahmedabad,Beverages,Shampoo,3,259,Cash,Delivered,71,Repeat,777
164,07/01/2023 19:00,Hyderabad,Household,Bread,2,440,Card,Delivered,82,New,880
165,07/01/2023 20:00,Mumbai,Dairy & Bakery,Shampoo,5,330,Wallet,Delivered,60,Repeat,1650
166,07/01/2023 21:00,Delhi,Beverages,Apple,2,435,Cash,Delivered,50,New,870
167,07/01/2023 22:00,Ahmedabad,Fruits & Vegetables,Milk,5,417,Wallet,Delivered,64,Repeat,2085
168,07/01/2023 23:00,Kolkata,Snacks,Milk,5,340,UPI,Delivered,37,New,1700
169,08/01/2023 00:00,Kolkata,Dairy & Bakery,Flour,5,430,Cash,Delivered,70,Repeat,2150
170,08/01/2023 01:00,Pune,Dairy & Bakery,Rice,4,299,Wallet,Delivered,16,New,1196
171,08/01/2023 02:00,Ahmedabad,Dairy & Bakery,Juice,5,390,Cash,Delivered,87,New,1950
172,08/01/2023 03:00,Chennai,Beverages,Rice,5,388,Card,Delivered,11,Repeat,1940
173,08/01/2023 04:00,Bangalore,Fruits & Vegetables,Apple,2,41,Cash,Delivered,85,Repeat,82
174,08/01/2023 05:00,Hyderabad,Household,Chips,5,97,UPI,Delivered,11,New,485
175,08/01/2023 06:00,Ahmedabad,Fruits & Vegetables,Eggs,4,320,Wallet,Delivered,37,New,1280
176,08/01/2023 07:00,Pune,Beverages,Oil,2,411,Cash,Delivered,63,Repeat,822
177,08/01/2023 08:00,Bangalore,Dairy & Bakery,Rice,5,494,Card,Delivered,85,Repeat,2470
178,08/01/2023 09:00,Bangalore,Snacks,Apple,2,214,Wallet,Returned,67,Repeat,428
179,08/01/2023 10:00,Delhi,Dairy & Bakery,Eggs,4,339,Wallet,Cancelled,56,New,1356
180,08/01/2023 11:00,Bangalore,Household,Apple,2,372,Wallet,Delivered,70,New,744
181,08/01/2023 12:00,Chennai,Personal Care,Chips,4,390,UPI,Delivered,49,New,1560
182,08/01/2023 13:00,Kolkata,Snacks,Oil,3,450,Card,Delivered,27,Repeat,1350
183,08/01/2023 14:00,Pune,Dairy & Bakery,Juice,5,40,Card,Returned,23,Repeat,200
184,08/01/2023 15:00,Bangalore,Snacks,Juice,4,179,Wallet,Delivered,34,Repeat,716
185,08/01/2023 16:00,Delhi,Personal Care,Flour,5,251,Cash,Delivered,19,Repeat,1255
186,08/01/2023 17:00,Chennai,Fruits & Vegetables,Apple,4,380,Wallet,Delivered,57,New,1520
187,08/01/2023 18:00,Mumbai,Beverages,Rice,1,320,Card,Delivered,57,Repeat,320
188,08/01/2023 19:00,Kolkata,Dairy & Bakery,Juice,1,63,UPI,Delivered,70,Repeat,63
189,08/01/2023 20:00,Kolkata,Household,Bread,1,316,UPI,Cancelled,62,Repeat,316
190,08/01/2023 21:00,Pune,Fruits & Vegetables,Rice,4,371,Wallet,Delivered,18,Repeat,1484
191,08/01/2023 22:00,Kolkata,Dairy & Bakery,Soap,5,199,UPI,Delivered,20,Repeat,995
192,08/01/2023 23:00,Bangalore,Fruits & Vegetables,Banana,1,491,UPI,Delivered,36,Repeat,491
193,09/01/2023 00:00,Delhi,Household,Apple,5,414,Cash,Delivered,68,Repeat,2070
194,09/01/2023 01:00,Kolkata,Dairy & Bakery,Apple,4,120,UPI,Delivered,67,New,480
195,09/01/2023 02:00,Kolkata,Personal Care,Apple,5,134,Cash,Delivered,22,Repeat,670
196,09/01/2023 03:00,Mumbai,Personal Care,Chips,5,232,Wallet,Delivered,74,Repeat,1160
197,09/01/2023 04:00,Mumbai,Household,Oil,1,37,Card,Delivered,20,New,37
198,09/01/2023 05:00,Hyderabad,Snacks,Apple,2,414,Card,Delivered,66,Repeat,828
199,09/01/2023 06:00,Chennai,Household,Juice,3,46,Cash,Cancelled,76,Repeat,138
200,09/01/2023 07:00,Bangalore,Snacks,Juice,4,446,Card,Delivered,75,Repeat,1784
201,09/01/2023 08:00,Kolkata,Dairy & Bakery,Banana,4,377,Wallet,Delivered,33,Repeat,1508
202,09/01/2023 09:00,Ahmedabad,Snacks,Banana,4,468,Card,Delivered,58,Repeat,1872
203,09/01/2023 10:00,Kolkata,Dairy & Bakery,Shampoo,3,457,UPI,Delivered,49,Repeat,1371
204,09/01/2023 11:00,Delhi,Dairy & Bakery,Rice,2,304,Wallet,Delivered,88,New,608
205,09/01/2023 12:00,Hyderabad,Beverages,Juice,5,168,Wallet,Delivered,79,New,840
206,09/01/2023 13:00,Chennai,Dairy & Bakery,Juice,4,304,Card,Delivered,11,New,1216
207,09/01/2023 14:00,Ahmedabad,Snacks,Chips,5,156,Card,Delivered,63,New,780
208,09/01/2023 15:00,Hyderabad,Beverages,Juice,1,208,Cash,Delivered,24,Repeat,208
209,09/01/2023 16:00,Pune,Beverages,Juice,1,209,UPI,Delivered,57,Repeat,209
210,09/01/2023 17:00,Chennai,Dairy & Bakery,Shampoo,1,218,Card,Cancelled,63,New,218
211,09/01/2023 18:00,Kolkata,Household,Bread,4,121,Card,Delivered,55,Repeat,484
212,09/01/2023 19:00,Kolkata,Household,Shampoo,3,498,Cash,Delivered,66,Repeat,1494
213,09/01/2023 20:00,Chennai,Personal Care,Bread,4,110,Card,Cancelled,64,New,440
214,09/01/2023 21:00,Kolkata,Beverages,Shampoo,1,243,UPI,Delivered,69,New,243
215,09/01/2023 22:00,Bangalore,Dairy & Bakery,Juice,1,24,UPI,Delivered,39,Repeat,24
216,09/01/2023 23:00,Chennai,Household,Shampoo,4,372,Wallet,Delivered,37,Repeat,1488
217,10/01/2023 00:00,Hyderabad,Dairy & Bakery,Juice,3,34,Wallet,Cancelled,61,New,102
218,10/01/2023 01:00,Chennai,Dairy & Bakery,Juice,3,460,UPI,Delivered,50,New,1380
219,10/01/2023 02:00,Ahmedabad,Beverages,Banana,5,24,Cash,Delivered,30,Repeat,120
220,10/01/2023 03:00,Kolkata,Personal Care,Milk,2,423,Wallet,Delivered,51,New,846
221,10/01/2023 04:00,Bangalore,Beverages,Bread,1,249,UPI,Delivered,22,Repeat,249
222,10/01/2023 05:00,Bangalore,Fruits & Vegetables,Soap,3,376,UPI,Delivered,54,New,1128
223,10/01/2023 06:00,Pune,Household,Rice,1,356,Wallet,Delivered,63,Repeat,356
224,10/01/2023 07:00,Hyderabad,Household,Rice,2,133,UPI,Delivered,28,Repeat,266
225,10/01/2023 08:00,Mumbai,Household,Shampoo,1,23,UPI,Delivered,36,Repeat,23
226,10/01/2023 09:00,Mumbai,Snacks,Milk,3,203,UPI,Delivered,49,New,609
227,10/01/2023 10:00,Chennai,Dairy & Bakery,Chips,5,232,UPI,Cancelled,16,New,1160
228,10/01/2023 11:00,Pune,Beverages,Soap,4,266,Wallet,Delivered,34,Repeat,1064
229,10/01/2023 12:00,Delhi,Household,Rice,4,53,Cash,Delivered,58,New,212
230,10/01/2023 13:00,Chennai,Fruits & Vegetables,Eggs,3,315,UPI,Delivered,45,Repeat,945
231,10/01/2023 14:00,Pune,Household,Apple,3,472,Card,Delivered,80,Repeat,1416
232,10/01/2023 15:00,Hyderabad,Personal Care,Eggs,2,215,Cash,Delivered,33,Repeat,430
233,10/01/2023 16:00,Hyderabad,Dairy & Bakery,Chips,1,425,Card,Cancelled,70,New,425
234,10/01/2023 17:00,Hyderabad,Dairy & Bakery,Soap,2,146,Card,Delivered,78,Repeat,292
235,10/01/2023 18:00,Hyderabad,Beverages,Rice,4,161,UPI,Delivered,61,Repeat,644
236,10/01/2023 19:00,Hyderabad,Snacks,Shampoo,1,471,Wallet,Delivered,45,New,471
237,10/01/2023 20:00,Pune,Beverages,Apple,2,155,Card,Delivered,60,New,310
238,10/01/2023 21:00,Pune,Household,Bread,4,147,Card,Delivered,42,New,588
239,10/01/2023 22:00,Bangalore,Personal Care,Rice,1,342,Card,Delivered,62,Repeat,342
240,10/01/2023 23:00,Ahmedabad,Fruits & Vegetables,Rice,5,193,UPI,Cancelled,83,Repeat,965
241,11/01/2023 00:00,Mumbai,Beverages,Flour,5,432,UPI,Delivered,47,Repeat,2160
242,11/01/2023 01:00,Kolkata,Snacks,Oil,2,237,Wallet,Delivered,53,Repeat,474
243,11/01/2023 02:00,Hyderabad,Beverages,Chips,3,133,UPI,Delivered,14,Repeat,399
244,11/01/2023 03:00,Delhi,Dairy & Bakery,Rice,1,394,Cash,Delivered,40,Repeat,394
245,11/01/2023 04:00,Kolkata,Household,Soap,2,369,Wallet,Delivered,18,Repeat,738
246,11/01/2023 05:00,Pune,Household,Milk,3,31,UPI,Delivered,41,Repeat,93
247,11/01/2023 06:00,Delhi,Household,Soap,3,482,UPI,Delivered,50,Repeat,1446
248,11/01/2023 07:00,Delhi,Household,Bread,1,263,Card,Delivered,14,New,263
249,11/01/2023 08:00,Delhi,Household,Milk,1,71,UPI,Delivered,60,New,71
250,11/01/2023 09:00,Bangalore,Household,Rice,3,205,Card,Delivered,63,Repeat,615
251,11/01/2023 10:00,Pune,Fruits & Vegetables,Rice,4,252,UPI,Delivered,37,Repeat,1008
252,11/01/2023 11:00,Delhi,Snacks,Oil,2,21,UPI,Delivered,52,New,42
253,11/01/2023 12:00,Hyderabad,Household,Apple,1,20,UPI,Delivered,21,Repeat,20
254,11/01/2023 13:00,Chennai,Snacks,Rice,3,258,UPI,Delivered,78,Repeat,774
255,11/01/2023 14:00,Delhi,Personal Care,Juice,4,74,UPI,Delivered,81,Repeat,296
256,11/01/2023 15:00,Bangalore,Household,Bread,5,239,Wallet,Delivered,26,New,1195
257,11/01/2023 16:00,Kolkata,Beverages,Banana,3,123,UPI,Delivered,17,Repeat,369
258,11/01/2023 17:00,Pune,Household,Shampoo,4,374,UPI,Delivered,27,Repeat,1496
259,11/01/2023 18:00,Ahmedabad,Dairy & Bakery,Apple,5,437,Card,Delivered,19,Repeat,2185
260,11/01/2023 19:00,Bangalore,Fruits & Vegetables,Eggs,4,467,Cash,Delivered,48,Repeat,1868
261,11/01/2023 20:00,Delhi,Beverages,Milk,1,343,Cash,Delivered,50,Repeat,343
262,11/01/2023 21:00,Pune,Beverages,Banana,3,357,Wallet,Delivered,53,Repeat,1071
263,11/01/2023 22:00,Chennai,Dairy & Bakery,Shampoo,5,415,UPI,Cancelled,78,Repeat,2075
264,11/01/2023 23:00,Delhi,Household,Rice,4,325,Cash,Cancelled,52,Repeat,1300
265,12/01/2023 00:00,Bangalore,Fruits & Vegetables,Flour,5,296,Card,Delivered,56,New,1480
266,12/01/2023 01:00,Mumbai,Beverages,Soap,2,29,Card,Delivered,84,New,58
267,12/01/2023 02:00,Hyderabad,Fruits & Vegetables,Juice,3,360,Wallet,Delivered,57,New,1080
268,12/01/2023 03:00,Ahmedabad,Beverages,Flour,1,123,Card,Delivered,28,Repeat,123
269,12/01/2023 04:00,Kolkata,Household,Oil,5,364,Cash,Delivered,30,New,1820
270,12/01/2023 05:00,Bangalore,Personal Care,Milk,4,389,Cash,Cancelled,12,New,1556
271,12/01/2023 06:00,Pune,Beverages,Milk,5,484,Cash,Returned,65,Repeat,2420
272,12/01/2023 07:00,Ahmedabad,Personal Care,Milk,4,390,UPI,Delivered,52,Repeat,1560
